keys,cn
"MENU_RUN_IN_EDITOR","在编辑器运行"
"MENU_RUN_IN_GAME","在游戏中运行"
"HINT_NODE_SELECTION_MAC","错过了选中的节点？\n按住Command在点击鼠标左键可以回溯选择的节点！"
"HINT_NODE_SELECTION_PC","错过了选中的节点？\n按住Ctrl在点击鼠标左键可以回溯选择的节点！"
"INSPECTOR_BASIC_PROPERTIES","基础属性"
"INSPECTOR_NAME","名称："
"INSPECTOR_TYPE","类型："
"INSPECTOR_PATH","路径："
"INSPECTOR_SCENE","场景："
"INSPECTOR_SCRIPT","脚本："
"INSPECTOR_SCRIPT_EXPORT_PROPERTIES","脚本导出属性"
"INSPECTOR_SCRIPT_PROPERTIES","脚本属性"
"INSPECTOR_BUILTIN_PROPERTIES","内置属性"
"DIALOG_DELETE_CONFIRMATION","确定要删除选中的节点吗？"
"DEMO_TEST_CHEAT","测试作弊"
"DEMO_TEST_BUTTON","测试按钮"
"ERROR_CONFIG_SAVE_FAILED","无法保存配置文件到 "
"ERROR_CONFIG_FORMAT","配置文件格式错误，使用默认配置"
"ERROR_JSON_PARSE","JSON 解析错误: "
"ERROR_CONFIG_OPEN_FAILED","无法打开配置文件 "
"ERROR_SELECTION_METADATA_NULL","选择错问题，metadata 为 null！"
"ERROR_STEP_NOT_PAUSED","当前未暂停，无法单步"
"ERROR_PACK_FAILED","打包失败，错误码："
"SUCCESS_SAVE","保存成功: "
"ERROR_SAVE_FAILED","保存失败，错误码："
"ACTION_CHEAT_BUTTON_PRESSED","作弊按钮被按下"
